id;title;description;task_status;due_date
1;infrastructures Rubber;Human back-end Chief;DONE;2024-03-09T04:42:20
2;Operations technologies groupware;hack USB;DONE;2024-03-09T11:44:50
3;virtual Identity monitor;Movies Georgia mint;TODO;2024-03-09T00:35:20
4;Nebraska utilize;info-mediaries;TODO;2024-03-09T17:37:18
5;service-desk override Generic;Corporate;TODO;2024-03-09T15:15:38
6;Soft Stream Mongolia;Generic Borders;UNDEFINED;2024-03-09T00:17:17
7;magenta Metal;Frozen;TODO;2024-03-09T17:05:21
8;Exclusive;Gloves Wooden;DONE;2024-03-09T06:18:48
9;parallelism;Industrial haptic global;DONE;2024-03-09T09:35:15
10;maroon;Fuerte withdrawal;DONE;2024-03-09T21:17:21
